# source, target, weight, time
2,495,1,1111206960
2,373,1,1111537380
2,657,1,1111612920
2,612,1,1111724400
2,600,1,1111724280
2,774,-1,1113758580
2,281,1,1113244860
2,786,1,1113404580
2,445,1,1113404400
2,812,-1,1114360740
2,405,1,1114899000
2,76,1,1115255220
2,48,1,1116910680
2,645,1,1119516120
2,1028,1,1119608820
2,911,1,1120397340
2,489,1,1122566580
2,29,1,1123082640
2,1249,-1,1123480080
2,874,-1,1123722000
3,1,1,1095174480
3,31,1,1094808840
3,7,-1,1095193500
3,9,-1,1094650440
3,116,1,1095518640
3,134,1,1095698760
3,168,-1,1096902240
3,24,-1,1096943460
3,262,-1,1098298920
3,330,1,1099821240
3,332,1,1099912860
3,210,1,1100005080
3,379,-1,1100484780
3,130,-1,1100776020
3,312,-1,1100881920
3,217,-1,1100915340
3,408,-1,1101352260
3,64,-1,1091274840
3,50,-1,1093934100
3,498,1,1101429780
3,254,-1,1101619620
3,139,-1,1102033080
3,51,-1,1102084380
3,138,-1,1102623180
3,550,-1,1103568540
3,554,-1,1103706540
3,589,-1,1105472040
3,591,1,1105576860
3,600,-1,1105822920
4,1,1,1095176220
4,25,1,1095166800
4,49,1,1094954940
4,5,1,1094925060
4,31,1,1095286800
4,7,1,1095195600
4,26,1,1095354240
4,82,1,1095447840
4,9,1,1094658720
4,116,1,1095450180
4,134,1,1096247400
4,44,1,1096247340
4,140,1,1096247580
4,80,1,1096247460
4,150,1,1096247280
4,151,1,1096247520
4,153,1,1096247280
4,118,1,1096247220
4,22,1,1096247160
4,156,1,1096247460
4,262,1,1092056280
4,64,-1,1091048040
5,1,1,1095182880
5,25,1,1095182880
5,49,1,1095000300
5,31,1,1094838120
5,7,1,1095193200
5,26,1,1095354420
5,82,1,1095374040
5,9,1,1094914380
5,116,1,1095522360
5,134,1,1096140900
5,44,1,1096140900
5,140,-1,1096141500
5,80,1,1096140840
5,150,1,1096140960
5,151,-1,1096140780
5,153,1,1096141080
5,118,1,1096141140
5,22,1,1096141260
5,141,1,1096141320
5,161,1,1097066460
5,196,1,1097067060
5,198,1,1097067000
5,24,1,1097066880
5,227,1,1097066760
5,228,1,1097066940
5,229,1,1097760300
5,234,1,1097583360
5,239,1,1097583240
5,247,1,1097760120
5,248,1,1097938800
5,122,1,1098048180
5,18,1,1098048120
5,257,1,1098104340
5,27,1,1098461220
5,262,-1,1098373980
5,272,1,1098585060
5,273,1,1098372780
5,0,1,1098372720
5,278,1,1117043040
5,69,1,1098867600
5,85,-1,1098969900
5,125,1,1099149840
5,316,1,1099257180
5,319,1,1099412400
5,320,1,1099519620
5,326,1,1099598460
5,329,-1,1099578900
5,310,1,1099663620
5,235,1,1099845300
5,330,1,1099845300
5,332,1,1099885560
5,331,1,1099949040
5,339,1,1099948740
5,342,1,1099953900
5,346,1,1099953900
5,347,1,1099953900
5,210,1,1100554620
5,356,1,1100218140
5,357,1,1100029320
5,358,1,1100188980
5,359,1,1100189340
5,361,1,1100259600
5,363,1,1100364600
5,379,1,1100527500
5,205,1,1100527560
5,130,1,1100517480
5,386,1,1101063300
5,387,1,1100617620
5,388,1,1100746260
5,393,-1,1100746080
5,395,1,1100746140
5,397,1,1100746200
5,399,1,1100746200
5,217,1,1101063300
5,163,1,1101305220
5,408,1,1101356580
5,482,1,1101911280
5,50,1,1094477040
5,498,1,1101522780
5,221,1,1101522780
5,406,1,1101522840
5,511,1,1102018620
5,512,1,1102036140
5,167,1,1102036200
5,526,1,1102437840
5,51,1,1102084560
5,510,1,1102261620
5,340,1,1102261620
5,529,1,1102261680
5,531,1,1102298880
5,532,1,1102438500
5,535,1,1102435980
5,536,1,1102572540
5,32,1,1102572540
5,138,1,1102622760
5,547,1,1102790580
5,371,1,1103628960
5,253,1,1103398380
5,552,1,1103628900
5,554,1,1103746740
5,556,1,1104091200
5,558,-1,1103953860
5,561,1,1104091200
5,562,-1,1104091140
5,156,-1,1104348840
5,592,1,1105578000
5,600,1,1106083680
5,608,1,1106575860
5,279,1,1108520280
5,631,-1,1108152480
5,381,1,1108470840
5,372,1,1108471500
5,294,1,1108471500
5,634,1,1108952100
5,660,1,1109943660
5,694,-1,1111197240
5,546,1,1111197060
5,495,1,1111197000
5,711,1,1111713660
5,373,-1,1111712940
5,657,1,1111857300
5,726,1,1111857360
5,612,1,1111857240
5,729,1,1111857240
5,774,1,1113744120
5,800,1,1114451700
5,665,1,1114452000
5,673,-1,1114451820
5,805,1,1114451880
5,587,1,1114452060
5,785,1,1114452060
5,812,1,1114451580
5,815,1,1114878180
5,292,-1,1114878540
5,816,1,1114878180
5,208,1,1114878480
5,824,-1,1114878240
5,668,1,1114878180
5,405,1,1115000040
5,76,1,1115000040
5,848,1,1115661300
5,852,1,1115739900
5,869,-1,1116800100
5,48,1,1117124220
5,876,1,1117474440
5,883,1,1117124160
5,894,-1,1117474260
5,899,-1,1117124160
5,638,1,1117474140
5,906,1,1117474020
5,909,1,1118091540
5,749,1,1118091480
5,719,1,1118091420
5,922,1,1118091480
5,277,1,1117908420
5,410,1,1118091540
5,926,-1,1118091660
5,933,1,1118317800
5,956,1,1120604100
5,1024,1,1120604220
5,1048,1,1120603800
5,1052,1,1120603800
5,1042,1,1121297160
5,1112,1,1121297100
5,1113,1,1121384220
5,1115,1,1121892660
5,1056,1,1121892480
5,1059,-1,1121892660
5,154,-1,1121892120
5,972,1,1121893200
5,1136,1,1122017400
5,1116,1,1122741300
5,489,-1,1122741120
5,723,-1,1122648300
5,1207,-1,1123271340
5,29,1,1123271100
5,207,1,1123271160
5,237,1,1123468500
5,398,1,1123468800
5,1249,-1,1123474380
5,1264,1,1123867980
5,1271,1,1123869060
5,1276,1,1123910280
5,1306,-1,1125101040
5,880,1,1125114960
5,1214,1,1125114960
5,896,1,1125100920
5,1321,1,1125114780
5,1318,1,1125100860
5,1330,1,1125114720
5,1332,1,1124919960
5,1343,1,1124985780
5,1344,1,1125164040
5,651,-1,1124985360
5,888,1,1125157980
5,826,1,1125122220
5,1350,-1,1125100680
5,1353,1,1125183900
5,1354,-1,1125264540
5,1355,1,1125429540
5,1360,1,1125505440
5,1184,1,1125523860
5,1364,1,1125621300
5,936,1,1125674340
5,1063,1,1125674280
5,755,1,1125862320
5,967,1,1125793920
5,1381,1,1126375440
5,693,1,1125786960
5,1259,1,1125793740
5,1384,-1,1125880620
5,1386,1,1125880560
5,1390,1,1125928260
5,945,1,1125928200
5,794,1,1125928260
5,1395,1,1125928980
5,875,1,1125943500
5,1400,1,1125955140
5,1402,-1,1125976080
5,1403,-1,1126119660
5,1404,1,1126119660
5,1371,1,1126565760
5,1423,1,1126723080
5,1426,-1,1126288260
5,1427,1,1126565220
5,1128,1,1126403280
5,1434,-1,1126722360
5,1437,1,1126716300
5,1448,1,1127236380
5,1459,1,1127159400
5,628,1,1127408040
5,1319,-1,1127606340
5,1398,1,1127775000
5,1143,1,1127775300
5,1365,1,1128131640
5,1142,1,1128560520
5,1507,1,1128560940
5,1512,1,1128560820
5,1514,1,1128560760
5,1518,1,1128366360
5,1523,1,1128740340
5,521,1,1128453660
5,1349,1,1128453360
5,1529,1,1128740100
5,832,1,1128453360
5,1541,-1,1128598320
5,1320,1,1128740160
5,1503,1,1128739740
5,1375,1,1128740100
5,1550,1,1128740040
5,1551,1,1128739740
5,1473,-1,1128970260
5,1066,1,1128739740
5,1555,1,1128739740
5,1575,-1,1128811740
5,1483,1,1128829500
5,1577,-1,1129063560
5,271,1,1129231620
5,822,-1,1129494360
5,1610,1,1129574940
5,1611,1,1129940400
5,1363,1,1129560660
5,1623,1,1129560660
5,1424,1,1129560540
5,270,1,1129560540
5,1631,1,1129574880
5,1643,1,1129940460
5,1644,1,1129940460
5,1640,-1,1129940160
5,1651,1,1129939920
5,1151,-1,1130031780
5,1709,1,1130193480
5,1723,1,1130193480
5,258,-1,1130500020
5,606,1,1132852020
5,910,1,1133400060
5,1272,1,1135016280
5,948,1,1135563780
5,2201,-1,1136002800
5,1793,-1,1136335800
5,2592,1,1125862320
5,2425,1,1144368120
5,3521,1,1149790080
5,4411,-1,1161482640
5,4283,1,1162521180
5,2657,1,1166998080
5,4722,1,1166997840
5,5480,1,1183405800
5,5043,-1,1184036820
5,6075,-1,1183416780
5,1420,1,1183513080
5,5554,1,1184099520
5,1820,1,1184037060
5,5933,1,1184035980
5,5792,1,1184098260
5,3644,1,1185994020
5,6243,-1,1185579240
5,5911,-1,1186085040
5,6598,1,1191525660
6,1,1,1095183420
6,25,1,1095183600
6,49,1,1095183720
6,5,1,1095184140
6,31,1,1095184440
6,82,-1,1095448200
6,24,1,1097542380
6,429,-1,1080652800
6,174,-1,1082384340
6,97,-1,1086701700
6,262,1,1092018240
6,466,-1,1084382700
6,474,1,1086352200
6,64,1,1090942980
6,50,1,1093958340
6,208,1,1115082300
6,239,1,1119469320
6,1082,1,1121110320
6,29,1,1123602900
6,1088,1,1123603320
6,237,1,1123603500
6,1299,1,1124232960
6,1349,1,1128629100
6,1761,1,1134571200
7,1,1,1095188640
7,25,1,1095188640
7,49,1,1094996820
7,5,1,1094914560
7,26,1,1095356040
7,9,1,1094669100
7,116,1,1095532380
7,121,-1,1100126640
7,44,1,1095803940
7,140,-1,1095872040
7,80,1,1095872100
7,150,1,1095871860
7,151,-1,1095872640
7,153,1,1095978180
7,118,1,1095977700
7,22,1,1095977580
7,141,1,1096144620
7,161,1,1096667280
7,168,1,1096923000
7,196,1,1096923480
7,198,1,1097012700
7,24,1,1097012640
7,227,1,1097012580
7,228,1,1097012460
7,234,-1,1097518980
7,239,1,1097619960
7,247,-1,1097708880
7,248,1,1098021180
7,122,1,1098021120
7,18,1,1098133980
7,257,1,1098133920
7,27,1,1098210060
7,262,1,1098304980
7,272,1,1098561180
7,273,1,1098561120
7,278,1,1117058700
7,69,1,1098909900
7,125,1,1099000980
7,316,1,1099254900
7,319,1,1099429080
7,320,1,1099696980
7,326,1,1099697160
7,310,1,1099697040
7,235,1,1099697040
7,330,1,1099867140
7,332,1,1100127600
7,331,1,1100127480
7,339,1,1100127420
7,342,1,1100127240
7,346,1,1100127360
7,347,1,1100127240
7,355,-1,1100126940
7,356,1,1100126760
7,357,1,1100126880
7,358,1,1100204400
7,359,1,1100204340
7,361,1,1100218920
7,363,1,1100387160
7,379,-1,1100645820
7,205,1,1100645880
7,130,1,1100646180
7,386,1,1100645940
7,387,1,1100646120
7,388,1,1100646060
7,393,1,1100731380
7,395,1,1100731560
7,397,1,1100731800
7,399,-1,1101003060
7,312,1,1100831220
7,217,1,1101002160
7,163,1,1101337440
7,193,-1,1089573240
7,433,1,1089668580
7,441,1,1088959620
7,457,1,1084051320
7,459,1,1090973640
7,466,1,1084738980
7,64,1,1090779480
7,50,1,1093981620
7,43,1,1088782740
7,498,1,1101429480
7,221,1,1101496800
7,406,1,1101520740
7,511,1,1102209120
7,512,1,1102209240
7,139,1,1102209060
7,167,1,1102018860
7,526,1,1102208820
7,510,1,1102115880
7,340,1,1102208580
7,529,1,1102208520
7,531,1,1102457640
7,532,1,1102459560
7,535,1,1102458540
7,536,1,1102638480
7,32,1,1102638600
7,138,1,1102638240
7,547,1,1102797720
7,371,1,1103152680
7,253,1,1103319240
7,551,1,1103413680
7,550,-1,1103580120
7,552,1,1104012420
7,554,1,1104012600
7,556,1,1104013800
7,558,1,1104015660
7,561,1,1104015540
7,564,1,1104364260
7,156,1,1104364080
7,568,1,1104613020
7,570,1,1104613380
7,572,1,1104613260
7,573,1,1104880920
7,203,1,1105213200
7,254,1,1105212840
7,306,1,1105213380
7,589,-1,1105487760
7,591,1,1105738680
7,592,1,1105645560
7,598,1,1105738740
7,600,-1,1105827900
7,599,1,1106173680
7,603,1,1106173560
7,605,1,1106173740
7,608,1,1106427180
7,614,1,1106943540
7,579,1,1107899040
7,623,-1,1107899460
7,284,1,1107899580
7,372,1,1108420200
7,294,1,1108420320
7,398,1,1109192760
7,649,1,1109676240
7,653,1,1109709960
7,658,1,1109898660
7,660,1,1109899020
7,684,1,1110913860
7,533,-1,1110913740
7,690,1,1110914100
7,693,-1,1110914040
7,640,1,1110926100
7,546,1,1111445700
7,495,1,1111445580
7,710,-1,1111534920
7,711,1,1111614120
7,657,1,1111624980
7,726,1,1112049420
7,612,1,1112049300
7,729,1,1112049180
7,681,1,1112049120
7,736,-1,1112127120
7,739,1,1112224320
7,747,1,1112390700
7,616,1,1112472840
7,28,1,1112390820
7,768,1,1113421620
7,774,-1,1113421920
7,281,1,1113421980
7,581,1,1113422160
7,786,1,1113422100
7,787,1,1113421440
7,445,1,1113422160
7,789,1,1113513840
7,615,1,1114025040
7,793,-1,1113948060
7,797,1,1114200900
7,800,1,1113948300
7,740,-1,1114200960
7,803,1,1114465200
7,673,-1,1114201500
7,805,1,1114201440
7,405,1,1115494200
7,76,1,1115494080
7,852,1,1116012540
7,854,-1,1116012480
7,889,1,1117821600
7,210,1,1119124320
7,51,1,1132008060
7,606,1,1132612980
8,1,1,1095190200
8,25,1,1095190200
8,49,1,1094953800
8,26,1,1095336300
8,9,1,1094624220
8,116,1,1095448680
8,121,-1,1100026920
8,153,1,1095969360
8,22,1,1095969300
8,168,-1,1096897560
8,24,1,1096977000
8,227,1,1096977000
8,234,1,1097514540
8,239,1,1097578680
8,248,1,1098380460
8,27,1,1098188100
8,69,1,1098845460
8,85,-1,1098937860
8,125,1,1098976560
8,316,1,1099255620
8,320,1,1099520220
8,310,1,1099600260
8,235,1,1099762380
8,330,1,1099849860
8,332,1,1099880100
8,342,1,1099949820
8,346,1,1099949820
8,347,1,1099949880
8,210,-1,1099979100
8,356,1,1100028540
8,357,1,1100028600
8,358,1,1100189640
8,359,1,1100189580
8,363,1,1100376300
8,205,1,1100490060
8,387,1,1100624820
8,388,1,1100629020
8,395,1,1100753820
8,262,1,1091999640
8,457,-1,1084152600
8,464,1,1083436740
8,64,1,1090712580
8,50,1,1094171820
8,498,1,1101429540
8,406,1,1101850380
8,51,-1,1102096680
8,536,1,1102564140
8,138,1,1102655760
8,554,1,1103719800
8,599,1,1106000760
8,603,1,1106090280
8,381,1,1108245900
8,649,1,1109513640
8,684,-1,1110848520
8,7,-1,1112193720
8,774,1,1113240480
8,789,1,1113497940
8,812,1,1114362300
8,208,1,1114553880
8,668,1,1114876260
8,405,1,1114901700
8,76,1,1114978980
8,848,1,1115494260
8,838,1,1116416040
8,883,1,1116969240
8,571,1,1119265500
8,898,1,1122125220
8,1441,1,1126808100
8,1480,1,1127659920
8,1398,1,1128147540
8,1512,1,1128147120
8,521,1,1128309000
8,822,1,1129311600
8,505,1,1129243800
8,1003,1,1130081640
8,1578,1,1130599860
8,1704,1,1130794200
8,1802,1,1131211920
8,1266,1,1138207380
8,962,1,1138207380
9,1,1,1095192780
9,25,1,1095192780
9,5,1,1094902200
9,31,1,1095019920
9,7,1,1095192900
9,26,1,1095338160
9,82,-1,1096004580
9,116,1,1095841320
9,134,1,1095841680
9,44,1,1095841200
9,140,-1,1095841440
9,80,1,1095841380
9,150,1,1096004400
9,153,1,1096004340
9,22,1,1096003920
9,141,1,1096373220
9,161,1,1096897260
9,168,1,1096897260
9,196,1,1097488020
9,198,1,1097488020
9,24,1,1097562420
9,227,1,1097487840
9,228,1,1097487780
9,229,-1,1097562480
9,234,1,1097562480
9,239,1,1097562240
9,248,1,1098078060
9,122,1,1098078000
9,18,1,1098077940
9,257,1,1098098040
9,27,1,1098188280
9,272,-1,1098351420
9,273,1,1098351420
9,0,1,1098351480
9,125,1,1099254240
9,97,1,1086793620
9,371,1,1103630580
9,253,1,1103630400
9,552,1,1103630460
9,561,1,1104130920
9,562,-1,1104130740
9,564,1,1104303420
9,156,1,1104303300
9,570,1,1104734940
9,572,1,1104734880
9,573,1,1104830400
9,592,1,1106035320
9,598,1,1106034240
9,232,1,1106034120
9,600,1,1106035620
9,599,1,1106291040
9,603,1,1106035440
9,605,1,1106552040
9,608,1,1106552160
9,612,-1,1106747160
9,614,1,1106861940
9,618,1,1107412860
9,579,1,1107769800
9,284,1,1107848820
9,279,1,1108450020
9,372,-1,1108450320
9,294,1,1108450260
9,634,1,1108968000
9,398,1,1108986180
9,649,1,1109726700
9,653,1,1109726460
9,658,1,1109726880
9,660,1,1109944440
9,673,-1,1110189060
9,213,-1,1110188940
9,675,1,1110351540
9,676,1,1110265440
9,679,1,1110316620
9,682,1,1110316560
9,684,1,1110351660
9,533,-1,1110875520
9,690,1,1110875640
9,693,-1,1110875940
9,694,-1,1110875880
9,640,1,1110875580
9,546,1,1110965100
9,495,1,1111172280
9,710,-1,1111565220
9,711,1,1111565280
9,373,-1,1111565160
9,606,1,1132252380
10,1,1,1095215280
10,25,1,1095215280
10,49,1,1094962860
10,5,1,1094878200
10,31,1,1094871540
10,7,1,1095215400
10,26,1,1095322200
10,82,1,1095374160
10,9,1,1094871900
10,86,-1,1080727500
10,116,1,1095456420
10,134,1,1096119360
10,44,1,1095842640
10,140,-1,1095845520
10,80,1,1095842940
10,150,1,1095862260
10,153,1,1096119180
10,118,1,1096119000
10,22,1,1096118940
10,141,1,1096142820
10,161,1,1096632240
10,168,1,1096897380
10,196,1,1096949520
10,198,1,1096946040
10,24,1,1096946040
10,227,1,1096945980
10,228,1,1096974840
10,229,1,1097572980
10,234,1,1097572860
10,239,1,1097572800
10,248,1,1098283320
10,122,1,1098283260
10,18,1,1098283200
10,257,1,1098283560
10,27,1,1098283380
10,395,1,1101055260
10,163,1,1101906240
10,193,-1,1089568020
10,441,-1,1088737260
10,442,1,1089120840
10,97,1,1086472320
10,262,1,1092000600
10,278,-1,1088658840
10,459,1,1090941540
10,474,1,1085928720
10,64,1,1090740600
10,50,1,1094298420
10,43,1,1088747700
10,498,1,1101906000
10,406,1,1101906060
10,138,1,1102999140
10,551,1,1103944440
10,552,1,1103944200
10,554,1,1103944080
10,556,1,1103944020
10,561,1,1103943960
10,564,1,1104321960
10,568,1,1104586980
10,570,1,1104586920
10,572,1,1104611400
10,573,1,1105116240
10,203,1,1105116180
10,254,1,1105115820
10,232,1,1106315640
10,600,1,1106315760
10,599,1,1106315580
10,603,1,1106315700
10,605,1,1106315460
10,608,1,1106501100
10,612,1,1106751960
10,614,1,1106870280
10,616,1,1106926680
10,618,1,1107459600
10,620,1,1107812520
10,579,1,1107812580
10,623,-1,1108139340
10,284,1,1108139580
10,279,1,1108139700
10,631,-1,1108139940
10,381,1,1108296480
10,372,1,1108388580
10,294,1,1108388640
10,634,1,1108772460
10,398,1,1108948680
10,649,1,1109475000
10,653,1,1109676300
10,658,1,1109754540
10,660,1,1109895000
10,673,1,1110508800
10,213,1,1110142440
10,675,1,1110188040
10,676,1,1110291840
10,679,1,1110291960
10,682,1,1110508500
10,684,1,1110508680
10,533,-1,1110752640
10,690,1,1110754020
10,693,-1,1110754560
10,694,-1,1110755100
10,640,1,1110755220
10,546,1,1110945660
10,495,1,1111178520
10,711,1,1111556760
10,373,1,1111555980
10,721,1,1111689660
10,657,1,1111688460
10,726,1,1111688520
10,729,1,1112057280
10,681,1,1112057580
10,736,1,1112057820
10,739,1,1112463060
10,747,1,1112292000
10,28,1,1112376600
10,757,-1,1112556540
10,394,1,1112826480
10,763,1,1112826600
10,764,1,1112826660
10,768,1,1112839200
10,765,-1,1113139620
10,774,1,1113139320
10,281,1,1113298260
10,581,1,1113298200
10,786,1,1113298020
10,787,1,1113378180
10,445,1,1113298260
10,789,1,1113480600
10,615,1,1113480420
10,797,1,1113847020
10,800,1,1113960720
10,740,-1,1113961140
10,803,1,1113961020
10,665,1,1114043580
10,805,1,1114044000
10,587,1,1114178520
10,785,1,1114379460
10,812,1,1114393080
10,815,1,1114554360
10,292,1,1114554660
10,208,1,1114554720
10,820,1,1114595580
10,668,1,1114745220
10,405,1,1114940340
10,76,1,1115011740
10,844,1,1115331660
10,848,1,1115586600
10,851,-1,1115585040
10,852,1,1115960760
10,858,1,1116317640
10,859,1,1116317700
10,838,1,1116657060
10,869,1,1116657720
10,871,1,1116657060
10,287,1,1116905520
10,48,1,1116905700
10,988,-1,1119952080
10,872,1,1119951780
10,641,1,1119951720
10,1026,1,1119951660
10,309,1,1119951480
10,903,1,1119951600
10,911,1,1119951420
10,855,1,1120719840
10,1052,1,1120719720
10,1064,1,1121151720
10,1082,1,1120802520
10,1042,1,1121403060
10,1086,-1,1121152080
10,1089,1,1121402700
10,917,1,1121403000
10,857,1,1121402580
10,1112,1,1121402940
10,1113,1,1121402820
10,1115,1,1121765520
10,1056,1,1121765220
10,1096,1,1121764500
10,735,1,1121764500
10,1059,1,1121764320
10,639,1,1121765700
10,154,1,1121763960
10,972,1,1121897040
10,898,1,1121897040
10,1136,1,1122115260
10,1150,1,1122115380
10,860,1,1122389760
10,1116,1,1122605100
10,1170,1,1122389820
10,1172,1,1122389880
10,901,1,1122604920
10,489,1,1122604680
10,896,1,1122604500
10,723,1,1122604440
10,588,1,1123045140
10,1183,1,1123045200
10,580,1,1123045200
10,1207,1,1123209120
10,644,1,1123045440
10,733,1,1123045560
10,1215,1,1123045680
10,29,1,1123208520
10,915,1,1123208640
10,1088,1,1123208760
10,780,1,1123208880
10,207,1,1123299180
10,237,1,1123299240
10,1152,-1,1123299660
10,983,1,1123440600
10,1253,1,1123627140
10,1254,1,1123627200
10,1258,1,1123627200
10,874,1,1123728360
10,1264,1,1123860960
10,1271,1,1123910280
10,698,1,1123910340
10,1276,1,1123910460
10,1278,1,1123910520
10,1284,1,1124011260
10,1294,1,1124116320
10,1027,1,1124200440
10,1296,1,1124200500
10,1297,1,1124317920
10,1299,1,1124317980
10,1098,1,1124475300
10,1306,-1,1124594640
10,1311,-1,1124595000
10,880,1,1124595420
10,1315,-1,1124658120
10,1214,1,1124786580
10,1321,1,1124861520
10,1318,1,1124861640
10,1205,1,1124942640
10,1330,1,1124942700
10,1332,1,1124942760
10,1343,1,1124942820
10,1344,1,1124942820
10,651,1,1124987400
10,888,1,1125031080
10,826,1,1125071040
10,1353,1,1125188160
10,1355,1,1125569280
10,1360,-1,1125569640
10,1361,-1,1125569880
10,1184,1,1125570180
10,1364,1,1125590700
10,936,1,1125620220
10,1063,1,1125639720
10,755,1,1125733080
10,1376,1,1125756000
10,967,1,1125793980
10,1381,1,1125794100
10,1259,1,1125794220
10,1384,1,1125892620
10,1386,-1,1125892920
10,1319,1,1125893160
10,1390,1,1125893040
10,945,1,1125913860
10,794,1,1125979980
10,1395,1,1125980040
10,875,1,1125980100
10,1400,1,1125980100
10,1402,1,1125980340
10,1403,-1,1126100700
10,1404,1,1126082940
10,703,1,1126213080
10,1371,1,1126213740
10,1423,1,1126259100
10,1426,-1,1126272720
10,1398,1,1128224820
10,1491,1,1128224700
10,1143,1,1128224640
10,1493,-1,1128224520
10,1500,1,1128224400
10,1365,1,1128224340
10,1142,1,1128224220
10,1507,1,1128223920
10,1510,1,1128223800
10,807,1,1128223740
10,1512,1,1128223620
10,1514,1,1128223500
10,1392,1,1128223500
10,1518,1,1128223440
10,1519,1,1128314520
10,1523,1,1128314520
10,521,1,1128314760
10,1349,1,1128386520
10,1529,1,1128636840
10,832,1,1128386640
10,1534,1,1128588360
10,1168,1,1128588480
10,1106,1,1128588660
10,1541,1,1128588840
10,1542,-1,1128636720
10,1320,1,1128636780
10,1503,1,1128744780
10,1375,1,1128677400
10,1550,1,1128715920
10,1551,1,1128716100
10,1473,1,1129036500
10,1066,1,1128716220
10,1555,1,1128744840
10,215,1,1128744900
10,1420,1,1128744960
10,1575,1,1128846600
10,1483,1,1128846660
10,520,1,1128924780
10,1579,1,1128925080
10,1577,1,1128925020
10,1023,1,1129091520
10,1590,1,1129036980
10,271,1,1129231080
10,1208,1,1129037820
10,1094,1,1129124700
10,1602,1,1129231020
10,1607,1,1129159020
10,822,1,1129180500
10,1610,1,1129230960
10,1611,1,1129931820
10,505,1,1129259880
10,1549,-1,1129260060
10,457,1,1129406220
10,1363,1,1129498260
10,1623,1,1129406280
10,1628,-1,1129498320
10,1424,1,1129513920
10,1631,1,1129594380
10,1370,1,1129594440
10,1635,1,1129845120
10,916,1,1129746720
10,1003,1,1129775400
10,1644,1,1129931520
10,1640,1,1129931940
10,1646,1,1129988520
10,1651,1,1129932180
10,1492,1,1129988580
10,1657,1,1130022840
10,1658,1,1130107500
10,1151,1,1130107680
10,1676,1,1130307180
10,1661,1,1130198820
10,1695,1,1130199900
10,1703,1,1130253300
10,1709,1,1130250420
10,1288,1,1130307360
10,1578,1,1130307420
10,1723,1,1130250420
10,1724,1,1130417760
10,1616,-1,1130418000
10,853,1,1130418720
10,1729,-1,1130490960
10,1730,1,1130850300
10,1405,1,1130491560
10,947,1,1130490120
10,695,1,1130658480
10,258,-1,1130491260
10,1742,1,1130522520
10,1745,1,1130589960
10,1747,1,1130700000
10,1520,1,1130699580
10,1760,1,1130940780
10,1124,1,1130755560
10,341,1,1130755620
10,1704,1,1130850240
10,1706,1,1130850360
10,1061,1,1130850720
10,187,-1,1130850660
10,1790,1,1130940360
10,1793,1,1130900940
10,1795,-1,1130941080
10,1796,1,1131109560
10,1802,1,1131191280
10,1060,1,1131191400
10,1805,1,1131191640
10,1707,1,1131202620
10,1810,1,1131371940
10,1770,1,1131372060
10,1173,1,1131607200
10,1816,1,1131688920
10,1670,1,1131755640
10,1821,1,1132116000
10,1823,1,1131755580
10,1486,1,1131840540
10,1050,1,1132010940
10,51,1,1131841680
10,1358,1,1131916800
10,1839,1,1132010520
10,379,1,1132114980
10,1842,1,1132116300
10,1559,1,1132185000
10,1095,1,1132219080
10,1882,1,1132289220
10,1421,1,1132202640
10,1887,1,1132289100
10,827,1,1132289340
10,1450,1,1132383960
10,1892,1,1132384140
